subject,treatment,IGFBP4,RP9,GPR34,COA4,TMEM204,UMPS,STEAP3,IFNA10,ADAM32,POTEF
GSM1684095,control,367.8428,382.1496,142.4877,159.9283,96.07053,121.7437,88.63632,175.1746,87.58875,8960.365
GSM1684096,influenza,1762.577,394.5854,1664.796,165.9865,87.88016,133.5266,86.67422,23338.63,80.28717,7585.549
GSM1684097,control,283.0078,420.5389,279.1691,213.0785,87.71957,118.6005,78.75552,119.1283,81.68401,12270.7
GSM1684098,influenza,2077.666,614.8876,939.2355,196.3842,86.24977,111.1675,81.78717,20301.14,94.53918,10657.01
GSM1684099,control,125.7431,613.1742,199.6376,167.566,94.97684,127.0105,84.59824,104.0609,95.2523,10420.06
GSM1684100,influenza,1891.432,723.921,1056.824,178.2131,89.68208,112.3962,97.24423,19909.86,85.99086,10877.94
GSM1684101,control,205.9293,417.6077,205.2128,225.3721,93.3107,113.6291,82.17329,125.0364,80.07111,16732.31
GSM1684102,influenza,2232.027,448.0204,1490.563,182.8239,93.38393,114.7513,92.97906,17844.63,93.94094,12866.8
GSM1684103,control,213.7338,514.5765,145.0149,143.1705,93.41039,143.3005,91.75375,110.6279,84.10991,17190.41
GSM1684104,influenza,3294.244,485.7968,968.0715,218.473,105.973,134.6811,80.96573,24029.11,92.75103,15949.37
