ID_REF	GSM1684095	GSM1684096	GSM1684097	GSM1684098	GSM1684099	GSM1684100	GSM1684101	GSM1684102	GSM1684103	GSM1684104
ILMN_1343291	23599.32	22303.32	25980.17	24776.12	24776.12	26775.34	25980.17	25980.17	23599.32	26775.34
ILMN_1343295	6405.335	7732.652	6553.479	5296.746	7699.219	6430.156	6648.162	4801.034	8646.443	5654.935
ILMN_1651199	95.19509	106.2397	97.54575	94.69421	106.2895	108.2523	95.39828	102.891	83.56386	88.30685
ILMN_1651209	95.65199	97.22574	105.7544	100.5472	119.326	109.0526	111.9581	94.74513	115.3237	107.9074
ILMN_1651210	101.8298	97.09778	125.6475	102.2923	99.58566	119.7902	103.8358	105.9598	102.4458	94.93552
ILMN_1651221	111.7865	104.7196	109.8984	102.2313	102.7657	101.0684	95.42272	103.3855	109.3573	95.62341
ILMN_1651228	9156.968	8897.159	9326.865	9964.305	11063.38	8910.935	11254.25	7752.537	12157.25	10280.01
ILMN_1651229	253.5435	253.7028	230.3505	235.1324	179.8717	162.0001	184.002	168.0225	216.3499	194.0608
ILMN_1651230	96.60646	101.3388	90.95158	107.9239	101.5533	104.1124	90.00755	90.96959	96.2912	101.4941
ILMN_1651232	112.7772	106.5139	97.73111	100.5288	108.0603	101.5625	116.0861	99.38618	102.626	111.6425
ILMN_1651235	93.14098	87.22002	97.01304	88.7645	85.11107	89.97213	83.699	90.90257	86.7103	83.91021
ILMN_1651236	99.08279	89.85783	91.88204	98.29025	90.72884	81.14927	86.24977	96.56563	89.43494	101.0311
ILMN_1651237	104.996	89.32221	98.0738	94.43443	90.0013	94.7341	90.48267	105.2137	122.3213	105.8363
ILMN_1651238	97.66363	82.16421	92.0704	83.70875	86.65266	87.99304	79.1109	93.57023	81.44939	95.70574
ILMN_1651249	95.8838	127.0938	99.05557	97.72118	103.309	93.40836	90.06386	103.2983	95.62341	89.80693
ILMN_1651253	101.3892	100.5521	85.09492	96.01041	103.9237	102.812	88.86362	88.42734	91.53912	114.2485
ILMN_1651254	844.7676	511.0703	761.3542	525.5374	960.1649	583.1263	1098.08	760.5709	1093.63	651.7766
ILMN_1651259	120.1448	123.4549	129.0879	134.0189	114.3323	133.6357	129.7194	133.2019	140.4339	123.6398
ILMN_1651260	84.38872	77.31319	85.23872	78.1781	85.60119	76.88634	78.87298	83.09529	82.80003	86.87125
ILMN_1651262	1993.118	2308.447	2339.091	2597.455	2524.237	1979.168	2573.153	1903.941	2774.737	2191.332
ILMN_1651268	88.49289	94.07542	100.869	84.82942	95.54652	91.10521	101.6193	99.54362	97.07655	97.26104
ILMN_1651278	367.0508	593.6421	368.4373	537.124	316.4806	364.311	383.7283	551.3224	420.8353	559.4302
ILMN_1651279	300.4318	236.6066	137.7008	102.474	129.0914	117.737	110.0892	127.3125	119.0448	120.1709
ILMN_1651281	109.9958	127.1854	100.1065	99.35538	100.4404	119.6414	107.8684	88.91969	88.70972	96.85374
ILMN_1651282	103.8185	115.2292	107.8838	99.55845	133.8848	120.3671	129.425	122.5303	108.2317	106.5914
ILMN_1651285	103.0222	103.7589	92.31614	109.7201	121.1628	108.5454	119.8709	119.5816	100.1721	107.818
ILMN_1651286	85.82522	86.89586	87.06268	79.80762	89.54874	84.61744	122.0935	96.18937	100.7547	90.94193
ILMN_1651288	111.058	123.2017	111.8232	130.097	108.8434	117.7356	124.1014	114.0174	120.0355	124.6039
ILMN_1651292	97.04938	93.71802	87.63197	87.34579	88.86948	81.8616	94.68282	99.66335	102.2645	79.29958
ILMN_1651296	616.5554	475.0079	343.7119	326.3596	1220.553	674.5222	378.8824	380.4696	452.2847	337.6811
ILMN_1651303	106.6973	118.0886	99.51601	99.55276	106.9837	97.78721	114.0348	109.9913	114.0977	105.4233
ILMN_1651309	85.49309	83.01308	80.57792	88.85765	86.18781	83.78477	86.57623	85.80666	82.98772	83.61592
ILMN_1651310	109.4116	106.3085	105.2282	87.18398	92.36787	100.1482	93.59354	95.60966	105.5936	104.5956
