Replicate	Tillage	Fertilizer	MultipleCobs	StoverWeight	PlantHeight	HoundredSeedWeight	DryGrainYield
1	T1	F1	4	38	81.8	38.509	16.6
2	T1	F1	5	32	96.2	32.402	25.4
3	T1	F1	1	25	113.2	29.126	11.7
4	T1	F1	4	29	91.2	30.829	14.6
1	T1	F2	15	65	196.4	35.519	75.2
2	T1	F2	38	46	166.8	38.039	53.7
3	T1	F2	14	60	189	33.239	62.5
4	T1	F2	48	50	180	36.032	58.6
1	T1	F3	11	50	168.6	34.065	58.6
2	T1	F3	11	53	180.4	35.74	59.6
3	T1	F3	11	59	188.4	35.82	70.3
4	T1	F3	8	63	174.8	37.325	69.3
1	T1	F4	15	63	179.2	34.262	59.6
2	T1	F4	10	48	165	33.575	50.8
3	T1	F4	17	57	179	38.338	55.7
4	T1	F4	16	53	172.4	33.502	52.7
1	T2	F1	14	46	140.6	31.625	43.0
2	T2	F1	10	41	173.4	34.745	40.0
3	T2	F1	3	36	140.8	27.778	27.3
4	T2	F1	6	36	171.4	31.122	27.3
1	T2	F2	60	59	174	37.177	62.5
2	T2	F2	45	58	179.8	37.898	60.1
3	T2	F2	43	59	175.4	36.368	58.6
4	T2	F2	56	55	187.8	37.218	68.4
1	T2	F3	14	56	171.6	36.17	67.4
2	T2	F3	18	62	192.6	39.349	74.2
3	T2	F3	6	50	151.8	35.795	50.8
4	T2	F3	1	68	193	36.751	79.1
1	T2	F4	7	67	183.4	32.828	61.5
2	T2	F4	19	63	192.2	34.834	52.7
3	T2	F4	12	49	177.2	33.83	53.7
4	T2	F4	11	53	179	34.773	58.6
