species,museum,accession,m1,m2,m3,m4,m5,m6
A. cinerea,AMNH,101458,15.1,27.79,21.885,13.01,10.5,61.635
A. cinerea,AMNH,101461,12.74,26.75,20.265,13.255,8.34,59.37
A. cinerea,AMNH,101466,12.425,25.915,20.735,12.3,9.43,56.27
A. cinerea,AMNH,101635,13.4,28.03,22.075,10.58,10.455,58.08
A. cinerea,AMNH,101459,14.4,26.16,21.385,12.1,9.6,58.635
A. cinerea,AMNH,101462,14.525,29.02,22.305,11.905,11.07,60.655
A. cinerea,AMNH,101467,13.665,28.045,20.77,11.415,11.49,59.06
A. cinerea,AMNH,101471,13.175,24.435,18.55,11.29,8.245,57.1
A. cinerea,AMNH,101636,12.505,27.06,20.625,12.09,11.36,56.675
A. cinerea,AMNH,101460,13.23,21.34,20.715,12.485,10.395,59.22
A. cinerea,AMNH,101465,15.615,28.535,25.01,13.41,10.52,63.22
A. cinerea,AMNH,101468,11.14,25.85,21.265,12.32,11.22,55.775
A. cinerea,AMNH,101634,13.055,27.935,21.235,12.065,11.625,58.77
A. cinerea,AMNH,101639,12.08,25.115,19.76,13.04,10.035,57.39
A. cinerea,AMNH,101464,13.41,27.845,21.3,11.84,11.66,60.07
A. cinerea,AMNH,101469,13.515,26.22,20.8,12.25,10.575,58.38
A. cinerea,AMNH,101470,13.47,26.745,20.96,11.63,9.985,55.255
A. cinerea,AMNH,101637,13.39,26.165,20.69,12.77,10.42,59.675
A. cinerea,AMNH,101638,13.93,27.745,21.255,12.06,10.01,61.015
A. cinerea,Smithsonian,396645,12.15,24.735,18.37,12.235,10.535,55.765
A. cinerea,Smithsonian,573965,13.875,27.51,21.49,13.07,11.395,62.59
A. cinerea,Smithsonian,314979,12.525,23.235,16.86,10.905,9.51,55.85
A. cinerea,Smithsonian,574897,12.625,26.38,18.335,12.98,10.835,60.85
E. lutris,Burke,19112,23.5,57.145,34.63,21.52,24.7,94.64
E. lutris,Burke,26459,18.77,37.185,21.505,16.8,19.1,80.2
E. lutris,Burke,26773,24.875,52.315,33.6,19.895,22.26,93.835
E. lutris,Burke,26801,18.935,42.845,25.08,18.14,20.31,80.56
E. lutris,Burke,38671,20.865,55.025,30.89,19.585,20.93,87.235
E. lutris,Burke,38672,20.09,48.85,29.32,20.475,18.83,85.35
E. lutris,Burke,38673,19.85,46.725,26.3,18.985,22.68,82.96
E. lutris,Burke,38674,20.31,50.96,28.655,19.71,19.745,85.17
E. lutris,Burke,38675,19.985,47.43,27.53,19.835,19.955,85.43
E. lutris,Burke,38678,19.875,50.025,28.34,20.09,20.835,83.33
E. lutris,Burke,38679,21.74,46.51,28.655,19.155,21.265,84.7
E. lutris,Burke,38680,16.41,41.45,23.245,16.785,18.515,74.945
E. lutris,Burke,38681,20.725,51.795,30.52,18.65,19.285,85.525
E. lutris,Burke,38683,18.99,49.785,27.225,20.295,19.445,81.48
E. lutris,Burke,38684,21.525,50.58,31.555,20.56,21.61,85.665
E. lutris,Burke,38685,21.415,50.69,31.195,21.22,21.44,84.68
E. lutris,Burke,38686,19.955,45.995,28.305,16.585,19.67,81.05
E. lutris,Burke,38687,17.48,43.365,25.485,18.865,21.335,80.355
E. lutris,Burke,38688,20.075,49.665,30.68,20.085,20.66,82.845
E. lutris,Burke,38694,20.15,49.36,31.475,20.865,20.695,84.215
E. lutris,Burke,50155,21.45,45.13,26.145,17.465,19.78,83.875
E. lutris,Burke,50156,19.95,46.635,29.855,15.855,21.81,81.63
E. lutris,Burke,50157,20.905,48.225,30.62,18.87,21.395,83.875
E. lutris,Burke,50158,21.34,50.325,29.47,19.14,20.275,85.43
E. lutris,Burke,50159,20,49.67,30.485,19.445,21.235,82.87
