Date,Site,Count,Species
2019-10-04,1,1,Mallard Duck
2019-10-04,1,1,Red-winged blackbird
2019-10-04,1,1,Gila woodpecker
2019-10-04,1,1,Finch
2019-10-04,1,1,Mourning Dove
2019-10-04,1,1,Phainopepla
2019-10-04,2,5,Song Sparrow
2019-10-04,2,2,Gila Woodpecker
2019-10-04,2,1,Mallard Duck
2019-10-04,2,1,Lucy's Warbler
2019-10-04,2,1,Vermillion Flycatcher
2019-10-04,2,3,Curve-bill Thrasher
2019-10-04,3,9,mourning dove
2019-10-04,3,1,Turkey vulture
2019-10-04,3,1,Gambils quail
2019-10-04,3,1,Phainopepla
2019-10-04,3,2,Finch sp
2019-10-04,3,1,Northern harrier
2019-10-04,3,1,Unidentified raptor
2019-10-04,3,3,"Humming Bird: Rubythroated, Black chin"
2019-10-04,3,1,Flycatcher vermilion
2019-10-04,3,2,Warbler
2019-10-04,4,29,mourning dove
2019-10-04,4,1,mallard
2019-10-04,4,2,Gila Woodpecker
2019-10-04,4,1,Coopers' hawk
2019-10-04,4,1,Redwing black bird
2019-10-04,4,1,Vireo
2019-10-04,4,3,house finch
2019-10-04,4,1,Redtail hawk
2019-10-04,4,2,Gambils quail
2019-10-04,5,10,mourning dove
2019-10-04,5,2,vulture
2019-10-04,6,1,white winged dove
2019-10-03,,1,Prairie Falcon
2019-10-02,,1,Northern Shoveler
2019-10-02,,1,Red-naped Sapsucker
2019-10-02,,30,duck sp.
2019-10-02,,2,Brown-headed Cowbird
2019-10-02,,1,Blue Grosbeak
2019-10-02,,2,Peregine Falcon
2019-10-02,,1,Willow Flycatcher
2019-10-02,,1,yellow-bellied kingbird sp.
2019-10-02,,2,Phainopepia
2019-10-02,,1,Empinodax sp.
2019-10-02,,1,Common Raven
2019-10-01,,3,pigeon/dove sp.
2019-10-01,,1,Vaux’s Swift
2019-10-01,,1,Cooper’s Hawk
2019-10-01,,1,Harris’s Hawk
2019-10-01,,1,Lucy’s Warbler
2019-09-30,,4,Blue Winged Teal
2019-09-30,,3,Cinnamon Teal
2019-09-30,,2,Blue Winged Teal
2019-09-30,,5,American Wigeon
2019-09-30,,20,Mallard Duck
2019-09-30,,2,Mallard/Mexican Duck
2019-09-30,,10,Gambel’s Quail
2019-09-30,,10,Rock Pigeon
2019-09-30,,3,Mourning Dove
2019-09-30,,2,Sora
2019-09-30,,8,Common Gallinule
2019-09-30,,2,American Coot
2019-09-30,,3,Turkey Vulture
2019-09-30,,1,Cooper’s Hawk
2019-09-30,,1,Red Tailed Hawk
2019-09-30,,1,Buteo sp.
2019-09-30,,6,Belted Kingfisher
2019-09-30,,1,Gila Woodpecker
2019-09-30,,4,Western Wood-Pewee
2019-09-30,,2,Black Phoebe
2019-09-30,,1,Vermilion Flycatcher
2019-09-30,,8,yellow-bellied kingbird sp.
2019-09-30,,2,Verdin
2019-09-30,,2,Blak-tailed Gnatcatcher
2019-09-30,,10,Marsh Wren
2019-09-30,,2,House Finch
2019-09-30,,1,Lesser Goldfinch
2019-09-30,,10,Song Sparrow
2019-09-30,,5,Abert’s Towhee
2019-09-30,,1,Red-winged Blackbird
2019-09-30,,1,Orange-crowned Warbler
2019-09-30,,2,Common Yellowthroat
2019-09-30,,2,Wilson's Warbler
2019-09-30,,3,White-winged Dove
2019-09-29,,1,Gadwall
2019-09-29,,1,Anna’s Hummingbird
2019-09-29,,1,Green Heron
2019-09-29,,8,Ladder-backed Woodpecker
2019-09-29,,80,teal sp.
2019-09-29,,2,dusk sp.
2019-09-29,,1,Greater Roadrunner
2019-09-29,,4,Vaux's Swift
2019-09-29,,1,humminbird sp.
2019-09-29,,1,Prairie Falcon
2019-09-29,,1,Say’s Phoebe
2019-09-29,,2,Northern Rough-winged Swallow
2019-09-29,,20,Barn Swallow
2019-09-29,,1,House Wren
2019-09-29,,25,Yellow-headed Blackbird
2019-09-29,,1,Great-tailed Grackle
2019-09-29,,1,Western Tanager
2019-09-29,,1,Wood Duck
2019-09-29,,1,Mallard
2019-09-29,,10,Green-winged Teal
2019-09-29,,6,Eurasian Collared-dove
2019-09-29,,1,Black-chinned Hummingbird
2019-09-29,,1,Sharp-skinned Hawk
2019-09-29,,10,Violet-green sparrow
2019-09-29,,2,White-crowned Sparrow
2019-09-29,,1,Lucy’s Warbler
2019-09-29,,1,Virginia Warbler
2019-09-29,,1,Yellow Warbler
2019-09-29,,1,Yellow-rumped Warbler
2019-09-28,,5,Lesser Nighthawk
2019-09-28,,2,Great Horned Owl
2019-09-28,,1,Red-naped Sapsucker
2019-09-28,,18,European Starling
2019-09-28,,36,Brewer’s Blackbird
2019-09-28,,1,Black-throated Gray Warbler
2019-09-28,,3,Northern Shoveler
2019-09-28,,1,dabbling duck sp.
2019-09-28,,1,Killdeer
2019-09-28,,1,Western Kingbird
2019-09-28,,1,Bell’s Vireo
2019-09-28,,1,Blue-gray Gnatcatcher
2019-09-28,,1,sparrow sp.
2019-09-28,,1,warbler sp.
2019-09-28,,4,Redhead
2019-09-28,,2,Pied-billed Grebe
2019-09-28,,1,Virginia Rail
2019-09-28,,1,Wilson’s Snipe
2019-09-28,,1,Pacific-slope Flycatcher
2019-09-28,,3,House Sparrow
