Date,Site,Count,Species,ID_to_species
2019-10-04,1,1,Mallard Duck,1
2019-10-04,1,1,Red-winged blackbird,1
2019-10-04,1,1,Gila woodpecker,1
2019-10-04,1,1,Finch,0
2019-10-04,1,1,Mourning Dove,1
2019-10-04,1,1,Phainopepla,1
2019-10-04,2,5,Song Sparrow,1
2019-10-04,2,2,Gila Woodpecker,1
2019-10-04,2,1,Mallard Duck,1
2019-10-04,2,1,Lucy's Warbler,1
2019-10-04,2,1,Vermillion Flycatcher,1
2019-10-04,2,3,Curve-bill Thrasher,1
2019-10-04,3,9,mourning dove,1
2019-10-04,3,1,Turkey vulture,1
2019-10-04,3,1,Gambils quail,1
2019-10-04,3,1,Phainopepla,1
2019-10-04,3,2,Finch sp,0
2019-10-04,3,1,Northern harrier,1
2019-10-04,3,1,Unidentified raptor,0
2019-10-04,3,3,"Humming Bird: Rubythroated, Black chin",0
2019-10-04,3,1,Flycatcher vermilion,1
2019-10-04,3,2,Warbler,1
2019-10-04,4,29,mourning dove,1
2019-10-04,4,1,mallard,1
2019-10-04,4,2,Gila Woodpecker,1
2019-10-04,4,1,Coopers' hawk,1
2019-10-04,4,1,Redwing black bird,1
2019-10-04,4,1,Vireo,1
2019-10-04,4,3,house finch,1
2019-10-04,4,1,Redtail hawk,1
2019-10-04,4,2,Gambils quail,1
2019-10-04,5,10,mourning dove,1
2019-10-04,5,2,vulture,0
2019-10-04,6,1,white winged dove,1
2019-10-03,,1,Prairie Falcon,1
2019-10-02,,1,Northern Shoveler,1
2019-10-02,,1,Red-naped Sapsucker,1
2019-10-02,,30,duck sp.,0
2019-10-02,,2,Brown-headed Cowbird,1
2019-10-02,,1,Blue Grosbeak,1
2019-10-02,,2,Peregine Falcon,1
2019-10-02,,1,Willow Flycatcher,1
2019-10-02,,1,yellow-bellied kingbird sp.,0
2019-10-02,,2,Phainopepia,1
2019-10-02,,1,Empinodax sp.,0
2019-10-02,,1,Common Raven,1
2019-10-01,,3,pigeon/dove sp.,0
2019-10-01,,1,Vaux’s Swift,1
2019-10-01,,1,Cooper’s Hawk,1
