Plot_Code,Field_Name,Common_Name,Family,Species_Code,Percent_Cover,Leaf_Type,Leaf_Phenology,Community
TUMC_IP01,Acacia constricta,whitethorn acacia,Fabaceae,ACACON,30,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Acacia greggii  ,catclaw acacia,Fabaceae,ACAGRE,30,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Amaranthus palmeri  ,carelessweed,Amaranthaceae,AMAPAL,3,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Aristida ternipes  ,spidergrass,Poaceae,ARITER,0.5,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Bidens leptocephala  ,fewflower beggarticks,Asteraceae,BIDLEP,18,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Boerhavia spicata  ,creeping spiderling,Nyctaginaceae,BOESPI,8,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Bouteloua curtipendula  ,sideoats grama,Poaceae,BOUCUR,18,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Ferocactus wislizeni  ,candy barrelcactus,Cactaceae,FERWIS,0.5,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Mentzelia albicaulis  ,whitestem blazingstar,Loasaceae,MENALB,0.5,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Mimosa aculeaticarpa var. biuncifera,catclaw mimosa,Fabaceae,MIMACUBIN,3,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Muhlenbergia porteri  ,bush muhly,Poaceae,MUHPOR,29.5,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP01,Prosopis velutina  ,velvet mesquite,Fabaceae,PROVEL,8.5,Microphyllous,Drought-deciduous,Shrubland
TUMC_IP02,Acacia greggii  ,catclaw acacia,Fabaceae,ACAGRE,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Amaranthus palmeri  ,carelessweed,Amaranthaceae,AMAPAL,63,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Bidens leptocephala  ,fewflower beggarticks,Asteraceae,BIDLEP,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Bouteloua aristidoides  ,needle grama,Poaceae,BOUARI,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Chenopodium,goosefoot,Chenopodiaceae,CHENO,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Chloris virgata  ,feather fingergrass,Poaceae,CHLVIR,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Eragrostis lehmanniana  ,Lehmann lovegrass,Poaceae,ERALEH,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Helianthus annuus  ,common sunflower,Asteraceae,HELANN,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Prosopis velutina  ,velvet mesquite,Fabaceae,PROVEL,14,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Setaria,bristlegrass,Poaceae,SETAR,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Sisymbrium irio  ,London rocket,Brassicaceae,SISIRI,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP02,Sporobolus wrightii  ,big sacaton,Poaceae,SPOWRI,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Acacia greggii  ,catclaw acacia,Fabaceae,ACAGRE,11,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Amaranthus palmeri  ,carelessweed,Amaranthaceae,AMAPAL,42,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Anisacanthus thurberi  ,Thurber's desert honeysuckle,Acanthaceae,ANITHU,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Chenopodium,goosefoot,Chenopodiaceae,CHENO,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Descurainia pinnata  ,western tansymustard,Brassicaceae,DESPIN,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Ipomoea,morning-glory,Convolvulaceae,IPOMO,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Oenothera,evening-primrose,Onagraceae,OENOT,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Prosopis velutina  ,velvet mesquite,Fabaceae,PROVEL,45.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Setaria,bristlegrass,Poaceae,SETAR,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Sporobolus cryptandrus  ,sand dropseed,Poaceae,SPOCRY,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Sporobolus wrightii  ,big sacaton,Poaceae,SPOWRI,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP03,Tithonia thurberi  ,Arizona sunflowerweed,Asteraceae,TITTHU,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Acacia greggii  ,catclaw acacia,Fabaceae,ACAGRE,42,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Amaranthus palmeri  ,carelessweed,Amaranthaceae,AMAPAL,8,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Aristida purpurea  ,purple threeawn,Poaceae,ARIPUR,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Bidens leptocephala  ,fewflower beggarticks,Asteraceae,BIDLEP,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Bouteloua curtipendula  ,sideoats grama,Poaceae,BOUCUR,8,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Chenopodium,goosefoot,Chenopodiaceae,CHENO,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Descurainia pinnata  ,western tansymustard,Brassicaceae,DESPIN,29.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Eschscholzia californica ssp. mexicana,California poppy,Papaveraceae,ESCCALMEX,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Ferocactus wislizeni  ,candy barrelcactus,Cactaceae,FERWIS,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Ipomoea,morning-glory,Convolvulaceae,IPOMO,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Leptochloa dubia  ,green sprangletop,Poaceae,LEPDUB,8,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Phacelia,phacelia,Hydrophyllaceae,PHACE,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Prosopis velutina  ,velvet mesquite,Fabaceae,PROVEL,37.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Setaria,bristlegrass,Poaceae,SETAR,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP04,Sporobolus wrightii  ,big sacaton,Poaceae,SPOWRI,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP05,Amaranthus palmeri  ,carelessweed,Amaranthaceae,AMAPAL,29.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP05,Bidens leptocephala  ,fewflower beggarticks,Asteraceae,BIDLEP,8,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP05,Bouteloua aristidoides  ,needle grama,Poaceae,BOUARI,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP05,Chloris virgata  ,feather fingergrass,Poaceae,CHLVIR,18,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP05,Descurainia pinnata  ,western tansymustard,Brassicaceae,DESPIN,3,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP05,Eragrostis cilianensis  ,stinkgrass,Poaceae,ERACIL,0.5,Microphyllous,Drought-deciduous,Wooded Shrubland
TUMC_IP05,Prosopis velutina  ,velvet mesquite,Fabaceae,PROVEL,4,Microphyllous,Drought-deciduous,Wooded Shrubland
